H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,99.3245283,877.6241683,67.79014408,33.51208569
3,92.95121951,1057.783227,67.22065175,33.4470413
6,88.86768448,1354.284305,89.9028777,29.57715874
9,83.49596774,1592.40951,90.85372168,31.63247911
12,58.58992806,1781.005959,109.5384353,28.73896894
15,89.91746032,,,
18,76.16938111,,,
21,97.84262295,691.2801962,123.3172332,29.03035719
0,67.71372549,858.7858234,72.38197621,32.97404123
3,83.25454545,1108.432019,86.58682192,34.00111425
6,74.14137214,1395.402003,82.28758357,31.80685722
9,81.67766497,1708.480726,88.70886162,31.16969139
12,76.18235294,,,
15,80.0845987,11.23564356,110.0675676,29.31944423
18,88.44067797,,,
21,84.55737705,,,
0,86.74441687,873.3464514,84.28062302,33.16428552
3,50.38709677,1097.986031,77.21380779,34.22338402
6,61.35606061,1362.064005,84.16343848,32.34069623
9,73.84362934,1615.471395,90.02742593,30.31874595
12,41.68949772,1783.02764,87.79317954,30.27557581
15,66.19952494,,,
18,98.408,,,
21,100,,,
0,81.45526316,876.8374552,89.06778184,31.26279779
3,94.76639344,1051.249517,90.42204158,31.57881475
6,83.6484375,1330.256858,77.72702927,33.41206117
9,67.27755102,1591.541296,91.55195361,30.23157592
12,34.63112392,1809.614528,110.2495122,33.52352564
15,57.21212121,,,
18,100,,,
21,100,,,
